symbol,close,drawdown,range_pos,yr_change,type,universe
AVS,7.83,-0.706,0.08,-0.44,accumulation,broader
OKLO,57.19,-0.705,0.28,-0.01,consolidating|accumulation,broader
ILMN,164.93,-0.695,0.2,0.82,accumulation,broader
BB,8.82,-0.693,0.25,1.09,accumulation,broader
TSLG,5.85,-0.693,0.18,0.02,accumulation,broader
ESTC,58.98,-0.689,0.13,-0.28,accumulation,broader
GPN,66.88,-0.682,0.04,-0.11,accumulation,SP500
RIG,5.29,-0.682,0.29,0.82,accumulation,broader
BLZE,11.66,-0.681,0.25,1.33,accumulation,broader
PCTY,100.89,-0.679,0.25,-0.43,accumulation,broader
TREX,45.34,-0.678,0.27,-0.16,accumulation,broader
SYRE,97.05,-0.676,0.32,5.47,accumulation,broader
BIO,270.32,-0.675,0.19,0.14,accumulation,broader
CLF,11.16,-0.672,0.27,0.6,consolidating|accumulation,broader
EPC,26.22,-0.669,0.17,0.16,accumulation,broader
KMX,51.91,-0.667,0.17,-0.24,accumulation,broader
ZS,126.17,-0.665,0.29,-0.58,accumulation,broader
DKNG,25.15,-0.662,0.24,-0.38,accumulation,broader
BABA,102.6,-0.659,0.2,-0.08,consolidating,broader
NVO,47.42,-0.658,0.28,-0.33,consolidating|accumulation,broader
PLTD,8.9,-0.657,0.16,-0.02,accumulation,broader
OLN,21.46,-0.651,0.26,0.15,consolidating,broader
BAH,63.88,-0.651,0.26,-0.34,consolidating,broader
TOST,24.51,-0.65,0.22,-0.42,accumulation,broader
VKTX,34.81,-0.65,0.34,0.34,consolidating|accumulation,broader
RKLX,40.79,-0.645,0.34,2.36,accumulation,broader
BF-B,26.64,-0.64,0.08,0.07,accumulation,SP500
RIOT,28.69,-0.639,0.36,2.0,accumulation,broader
KHC,22.82,-0.636,0.17,-0.05,consolidating|accumulation,SP500
POOL,198.99,-0.635,0.26,-0.29,accumulation,SP500
RGTI,21.28,-0.634,0.36,0.92,accumulation,broader
FLG,15.03,-0.63,0.28,0.3,consolidating|accumulation,broader
RKT,13.47,-0.627,0.26,-0.06,accumulation,broader
VTRS,15.37,-0.621,0.26,0.82,accumulation,SP500
LEU,177.5,-0.618,0.38,-0.07,consolidating|accumulation,broader
ZBRA,235.98,-0.616,0.33,-0.18,accumulation,SP500
RGEN,126.37,-0.614,0.34,0.06,accumulation,broader
SIRI,28.08,-0.604,0.2,0.35,consolidating|accumulation,broader
TWST,85.0,-0.603,0.36,1.45,accumulation,broader
OKTA,118.16,-0.598,0.35,0.19,accumulation,broader
CRL,185.0,-0.598,0.3,0.28,accumulation,SP500
TWLO,184.04,-0.598,0.37,0.58,accumulation,broader
AFRM,71.83,-0.593,0.38,0.16,consolidating|accumulation,broader
ICLR,142.67,-0.59,0.27,-0.03,accumulation,broader
SWKS,72.45,-0.589,0.21,0.06,accumulation,SP500
LUMN,7.84,-0.588,0.39,0.99,accumulation,broader
DEO,82.24,-0.582,0.08,-0.15,accumulation,broader
BIIB,196.58,-0.58,0.24,0.55,accumulation,SP500
CPB,21.15,-0.579,0.05,-0.3,consolidating|accumulation,SP500
WRBY,25.64,-0.575,0.32,0.18,accumulation,broader
NOV,18.75,-0.573,0.32,0.42,accumulation,broader
BMRN,56.5,-0.572,0.09,0.03,accumulation,broader
SVIX,22.22,-0.569,0.31,0.58,consolidating|accumulation,broader
TECH,57.94,-0.564,0.32,0.18,accumulation,SP500
BWIN,24.39,-0.563,0.34,-0.39,accumulation,broader
PVH,73.41,-0.561,0.33,0.14,accumulation,broader
SYM,38.57,-0.561,0.38,0.13,consolidating,broader
SYNA,134.41,-0.551,0.4,1.12,accumulation,broader
