symbol,trades,win_rate,avg_return,total_pnl_usd,avg_bars_held
TTWO,45,40.0,0.44,1990.0,29.0
MRK,55,34.5,0.36,1983.0,28.0
PEP,56,46.4,0.35,1972.0,26.0
LNT,55,50.9,0.36,1966.0,28.0
TRV,48,39.6,0.41,1961.0,28.0
EQIX,50,40.0,0.39,1938.0,29.0
HAS,46,41.3,0.42,1936.0,31.0
TECH,40,47.5,0.48,1901.0,33.0
KO,59,39.0,0.32,1896.0,25.0
EA,54,38.9,0.35,1883.0,26.0
APTV,41,41.5,0.45,1858.0,28.0
MTD,41,41.5,0.45,1854.0,31.0
POOL,45,37.8,0.41,1848.0,30.0
V,58,44.8,0.32,1845.0,25.0
VTRS,46,39.1,0.39,1805.0,28.0
CBOE,44,40.9,0.41,1795.0,33.0
MRSH,55,40.0,0.32,1733.0,26.0
IR,40,42.5,0.43,1719.0,31.0
GEV,11,27.3,1.53,1685.0,24.0
PG,55,36.4,0.3,1665.0,24.0
JPM,47,44.7,0.35,1635.0,29.0
GPC,49,34.7,0.33,1605.0,25.0
REG,48,37.5,0.32,1542.0,29.0
CMS,50,36.0,0.3,1525.0,30.0
AIG,57,35.1,0.25,1452.0,24.0
BKR,45,31.1,0.32,1452.0,28.0
YUM,50,40.0,0.29,1442.0,28.0
PEG,53,47.2,0.27,1410.0,28.0
SW,55,38.2,0.26,1408.0,24.0
CRL,43,37.2,0.33,1406.0,28.0
AWK,50,42.0,0.27,1374.0,28.0
FOX,38,36.8,0.36,1367.0,27.0
CMG,47,38.3,0.28,1319.0,26.0
O,55,41.8,0.24,1312.0,26.0
WYNN,43,32.6,0.3,1302.0,27.0
IBM,48,29.2,0.27,1290.0,27.0
DD,47,40.4,0.26,1244.0,28.0
ECL,49,36.7,0.24,1192.0,27.0
SYY,48,41.7,0.24,1128.0,27.0
IT,45,40.0,0.24,1081.0,29.0
CTVA,32,43.8,0.34,1074.0,28.0
ESS,51,35.3,0.2,1038.0,28.0
FISV,50,38.0,0.21,1030.0,28.0
WEC,51,39.2,0.19,991.0,29.0
PFE,45,33.3,0.22,986.0,28.0
