symbol,trades,win_rate,avg_return,total_pnl_usd,avg_bars_held
BX,40,50.0,3.82,15286.0,31.0
CEG,15,66.7,10.17,15261.0,37.0
DLTR,44,47.7,3.47,15254.0,27.0
PODD,41,51.2,3.71,15219.0,32.0
MRNA,29,34.5,5.22,15145.0,25.0
ODFL,42,57.1,3.56,14940.0,35.0
CARR,28,42.9,5.29,14808.0,27.0
MSI,47,53.2,3.14,14775.0,33.0
DAL,38,47.4,3.83,14566.0,30.0
KKR,40,52.5,3.6,14395.0,35.0
FFIV,45,48.9,3.18,14320.0,31.0
DRI,38,47.4,3.69,14037.0,35.0
TER,42,40.5,3.33,13969.0,27.0
GWW,47,44.7,2.94,13836.0,29.0
KEYS,40,50.0,3.45,13790.0,31.0
PNC,41,56.1,3.34,13701.0,32.0
TXN,46,52.2,2.95,13578.0,31.0
AJG,47,48.9,2.88,13539.0,31.0
HIG,53,39.6,2.51,13324.0,26.0
EOG,42,50.0,3.13,13162.0,30.0
IBKR,40,35.0,3.29,13156.0,30.0
JBL,42,42.9,3.11,13083.0,31.0
ROST,47,48.9,2.78,13052.0,31.0
HAL,38,42.1,3.42,13014.0,29.0
SPGI,41,51.2,3.17,13008.0,36.0
COHR,40,42.5,3.25,12998.0,27.0
PHM,44,45.5,2.94,12954.0,32.0
CFG,41,43.9,3.15,12914.0,29.0
ORLY,41,53.7,3.11,12750.0,33.0
F,49,42.9,2.59,12668.0,27.0
DHI,48,43.8,2.62,12574.0,28.0
SATS,42,31.0,2.99,12566.0,28.0
LMT,46,50.0,2.71,12472.0,27.0
AMAT,39,53.8,3.15,12288.0,33.0
CTAS,44,56.8,2.78,12248.0,35.0
COST,55,43.6,2.22,12228.0,29.0
ON,39,35.9,3.12,12180.0,30.0
APO,41,53.7,2.95,12079.0,31.0
CRH,49,42.9,2.45,12018.0,29.0
CAT,43,48.8,2.76,11876.0,34.0
PH,44,54.5,2.7,11862.0,31.0
BLK,40,47.5,2.93,11709.0,34.0
HCA,41,53.7,2.82,11559.0,30.0
ABBV,47,40.4,2.46,11558.0,30.0
ARES,45,46.7,2.55,11471.0,33.0
RMD,44,50.0,2.61,11468.0,32.0
RF,44,47.7,2.6,11440.0,29.0
IDXX,40,45.0,2.81,11221.0,32.0
ZBRA,38,55.3,2.94,11167.0,31.0
AMZN,46,54.3,2.41,11100.0,31.0
GE,49,38.8,2.26,11085.0,24.0
MOS,44,40.9,2.51,11050.0,26.0
WM,49,53.1,2.25,11044.0,31.0
DE,39,48.7,2.82,10990.0,31.0
FSLR,42,35.7,2.61,10955.0,28.0
OKE,41,46.3,2.64,10819.0,35.0
VEEV,45,44.4,2.4,10786.0,32.0
CDNS,48,37.5,2.25,10785.0,29.0
MAS,44,40.9,2.44,10715.0,29.0
DXCM,43,41.9,2.49,10713.0,29.0
HLT,50,50.0,2.13,10647.0,25.0
ACGL,46,47.8,2.31,10635.0,33.0
MCO,43,53.5,2.47,10600.0,34.0
PANW,42,45.2,2.52,10592.0,32.0
LOW,40,45.0,2.64,10548.0,34.0
NSC,46,52.2,2.28,10492.0,28.0
ORCL,48,47.9,2.18,10469.0,28.0
WELL,43,58.1,2.4,10337.0,32.0
ROL,40,62.5,2.57,10300.0,33.0
SCHW,44,45.5,2.27,10010.0,32.0
ISRG,37,54.1,2.7,9990.0,35.0
GS,45,46.7,2.22,9972.0,30.0
HPE,42,47.6,2.37,9971.0,29.0
CF,41,48.8,2.43,9955.0,31.0
CSX,51,41.2,1.94,9908.0,27.0
FITB,37,48.6,2.66,9836.0,30.0
MSFT,40,57.5,2.46,9832.0,38.0
DPZ,38,44.7,2.56,9746.0,33.0
RL,39,41.0,2.49,9722.0,28.0
HWM,42,47.6,2.31,9689.0,30.0
PWR,33,54.5,2.93,9660.0,32.0
GOOG,44,56.8,2.2,9658.0,30.0
META,41,43.9,2.33,9571.0,29.0
TDG,48,52.1,1.99,9552.0,29.0
WFC,48,43.8,1.97,9439.0,28.0
TDY,47,53.2,2.01,9432.0,29.0
WST,41,48.8,2.3,9429.0,34.0
PCAR,45,46.7,2.08,9354.0,28.0
MTB,46,43.5,2.03,9324.0,30.0
CMI,43,46.5,2.17,9313.0,35.0
ERIE,43,37.2,2.15,9233.0,27.0
AXP,43,51.2,2.15,9225.0,33.0
WSM,48,37.5,1.9,9138.0,28.0
CHRW,44,43.2,2.07,9120.0,31.0
RCL,44,36.4,2.05,9021.0,26.0
FANG,50,36.0,1.8,9007.0,26.0
WAB,47,53.2,1.88,8835.0,30.0
CTSH,44,54.5,2.01,8826.0,31.0
CDW,44,43.2,1.99,8772.0,31.0
JCI,47,48.9,1.85,8717.0,29.0
TRGP,40,40.0,2.16,8624.0,30.0
XOM,48,41.7,1.79,8582.0,29.0
CCL,45,40.0,1.89,8515.0,26.0
SHW,46,54.3,1.84,8483.0,28.0
ALLE,42,45.2,2.0,8413.0,32.0
IRM,47,51.1,1.79,8409.0,29.0
SNA,53,47.2,1.58,8383.0,26.0
TFC,45,44.4,1.85,8337.0,29.0
HUM,44,43.2,1.89,8334.0,31.0
IVZ,40,45.0,2.07,8289.0,25.0
